mandt,land1,teleffrom,telefto,telefrm,telexfrom,telexto,mobile_sms,operation_flag,is_deleted,recordstamp
001,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MH,,692,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MK,,389,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MM,,95,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MN,,976,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,NF,,6723,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,NR,,674,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,PW,,680,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,SH,,290,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,SI,,386,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,TJ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,TM,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,UZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,YE,,967,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,YT,,269,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,YT,,269,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,YT,,269,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,YT,,269,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,YT,,269,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,YT,,269,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,FK,0,500,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,FK,0,500,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,FK,0,500,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,FK,0,500,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,FK,0,500,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,FK,0,500,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,KI,0,686,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,KI,0,686,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,KI,0,686,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KI,0,686,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KI,0,686,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KI,0,686,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,KY,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,KY,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,KY,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KY,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KY,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KY,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,LC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,LC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,LC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,SC,0,248,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,SC,0,248,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,SC,0,248,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,SC,0,248,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,SC,0,248,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,SC,0,248,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,ST,0,239,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,ST,0,239,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,ST,0,239,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,ST,0,239,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,ST,0,239,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,ST,0,239,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,TC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,TC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,TC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,TC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,TC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,TC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,VC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,VC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,VC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,VC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,VC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,VC,0,1809,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,WS,0,685,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,WS,0,685,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,WS,0,685,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,WS,0,685,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,WS,0,685,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,WS,0,685,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,AD,00,376,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,AD,00,376,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,AD,00,376,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AD,00,376,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AD,00,376,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AD,00,376,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,AE,00,971,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,AE,00,971,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,AE,00,971,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AE,00,971,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AE,00,971,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AE,00,971,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,AL,00,355,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,AL,00,355,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,AL,00,355,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AL,00,355,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AL,00,355,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AL,00,355,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,AN,00,599,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,AN,00,599,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,AN,00,599,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AN,00,599,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AN,00,599,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AN,00,599,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,AW,00,297,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,AW,00,297,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,AW,00,297,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AW,00,297,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AW,00,297,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AW,00,297,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,BJ,00,229,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,BJ,00,229,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,BJ,00,229,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,BJ,00,229,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,BJ,00,229,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,BJ,00,229,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,CC,00,672,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,CC,00,672,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,CC,00,672,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,CC,00,672,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,CC,00,672,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,CC,00,672,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,CI,00,225,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,CI,00,225,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,CI,00,225,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,CI,00,225,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,CI,00,225,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,CI,00,225,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,CK,00,682,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,CK,00,682,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,CK,00,682,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,CK,00,682,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,CK,00,682,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,CK,00,682,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,FR,00,33,,,42,,L,False,2022-01-31 20:43:39.619600+00:00
001,FR,00,33,,,42,,L,False,2022-01-31 20:43:39.619600+00:00
050,FR,00,33,,,42,,L,False,2022-01-31 20:43:39.619600+00:00
100,FR,00,33,,,42,,L,False,2022-01-31 20:43:39.619600+00:00
200,FR,00,33,,,42,,L,False,2022-01-31 20:43:39.619600+00:00
250,FR,00,33,,,42,,L,False,2022-01-31 20:43:39.619600+00:00
000,GA,00,241,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,GA,00,241,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,GA,00,241,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GA,00,241,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GA,00,241,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GA,00,241,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,GF,00,594,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,GF,00,594,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,GF,00,594,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GF,00,594,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GF,00,594,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GF,00,594,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,GI,00,350,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,GI,00,350,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,GI,00,350,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GI,00,350,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GI,00,350,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GI,00,350,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,GP,00,590,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,GP,00,590,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,GP,00,590,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GP,00,590,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GP,00,590,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GP,00,590,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,GT,00,502,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,GT,00,502,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,GT,00,502,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GT,00,502,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GT,00,502,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GT,00,502,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,KW,00,965,,,496,,L,False,2022-01-31 20:43:39.619600+00:00
001,KW,00,965,,,496,,L,False,2022-01-31 20:43:39.619600+00:00
050,KW,00,965,,,496,,L,False,2022-01-31 20:43:39.619600+00:00
100,KW,00,965,,,496,,L,False,2022-01-31 20:43:39.619600+00:00
200,KW,00,965,,,496,,L,False,2022-01-31 20:43:39.619600+00:00
250,KW,00,965,,,496,,L,False,2022-01-31 20:43:39.619600+00:00
000,LR,00,231,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,LR,00,231,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,LR,00,231,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LR,00,231,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LR,00,231,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LR,00,231,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,MC,00,377,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,MC,00,377,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,MC,00,377,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MC,00,377,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MC,00,377,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MC,00,377,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,MO,00,853,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,MO,00,853,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,MO,00,853,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MO,00,853,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MO,00,853,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MO,00,853,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,MQ,00,596,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,MQ,00,596,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,MQ,00,596,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,MQ,00,596,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,MQ,00,596,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,MQ,00,596,,,,,L,False,2022-01-31 20:43:39.619600+00:00
