mandt,bukrs,anln1,anln2,anlkl,gegst,anlar,ernam,erdat,aenam,aedat,xloev,xspeb,felei,ktogr,xopvw,anltp,zujhr,zuper,zugdt,aktiv,abgdt,deakt,gplab,bstdt,ord41,ord42,ord43,ord44,anlue,zuawa,aneqk,aneqs,lifnr,land1,liefe,herst,eigkz,aibn1,aibn2,aibdt,urjhr,urwrt,antei,projn,eaufn,meins,menge,typbz,izwek,inken,ivdat,invzu,vmgli,xvrmw,wrtma,ehwrt,aufla,ehwzu,ehwnr,gruvo,grein,grbnd,grblt,grlfd,flurk,flurn,fiamt,stadt,grund,feins,grufl,invnr,vbund,spras,txt50,txa50,xltxid,xverid,xtchid,xkalid,xherid,xleaid,leafi,lvdat,lkdat,leabg,lejar,leper,lryth,legeb,lbasw,lkauf,lmzin,lzins,ltzbw,lkuza,lkuzi,llavb,leanz,lvtnr,letxt,xaktiv,anupd,lblnr,xv0dt,xv0nm,xv1dt,xv1nm,xv2dt,xv2nm,xv3dt,xv3nm,xv4dt,xv4nm,xv5dt,xv5nm,xv6dt,xv6nm,aimmo,objnr,leart,lvors,gdlgrp,posnr,xerwrt,xafabch,xanlgr,mcoa1,xinvm,sernr,umwkz,lrvdat,act_change_pm,has_tddp,last_reorg_date,internal_code,approval_number,approval_version,bogus_anln1,asset_version,operation_flag,is_deleted,recordstamp
800,SL01,000000002001,0000,00002000,,,D000145,2006-07-07,,,,,2000,00020000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,5 Container Dry 40  - own -,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-07-07,D000145,,,,,,,,,,,0,,,,,00000000,,Y,,5 CONTAINER DRY 40  - OWN -,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,6000,000000002000,0000,00002000,,,CASTRO,1999-08-11,CASTRO,1999-08-24,,,2000,00020000,,0,0000,000,,1999-01-01,,,,,0002,0002,0001,0002,,,0,0,,,,,,,,,0000,,,,,,,,,X,,,0000,,,,,,,,,,,,,,,,,,,,,E,Drilling machine,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,1999-08-24,CASTRO,,,,,,,,,,,0,,,,,00000000,,,,DRILLING MACHINE,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000002186,0000,00002000,,,STANKOVICH,2002-08-01,,,,,2000,00020000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,X,,,0000,,,,,,,,,,,,,,,,,,,,,E,Conveyer Belt,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-08-01,STANKOVICH,,,,,,,,,,,0,,,,,00000000,,,,CONVEYER BELT,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000002185,0000,00002000,,,STANKOVICH,2002-08-01,,,,,2000,00020000,,0,0000,000,,,,,,,,,,,,,0,0,0000003411,,,,,000000004035,0000,1997-11-30,0000,,,,,,,,,,,,DE29,,,,,,,,,,,,,,,,,,,,,E,Water-cooling system,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-08-01,STANKOVICH,,,,,,,,,,,0,,,,,00000000,,,,WATER-COOLING SYSTEM,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000002188,0000,00002000,,,ZUERKER,2002-12-03,,,,,2000,00020000,,0,0000,000,,2003-01-01,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Asset for 4230,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-12-03,ZUERKER,,,,,,,,,,,0,,,,,00000000,,Y,,ASSET FOR 4230,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000002189,0000,00002000,,,ZUERKER,2002-12-03,,,,,2000,00020000,,0,0000,000,,2003-01-01,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Asset for 4230,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-12-03,ZUERKER,,,,,,,,,,,0,,,,,00000000,,Y,,ASSET FOR 4230,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000002187,0000,00002000,,,ZUERKER,2002-12-03,ZUERKER,2002-12-03,,,2000,00020000,,0,0000,000,,2003-01-01,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Asset for 4230,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-12-03,ZUERKER,,,,,,,,,,,0,,,,,00000000,,Y,,ASSET FOR 4230,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,6000,000000003001,0000,00003000,,,TORRESK,2003-01-08,,,,,3000,00030000,,0,0000,000,,2003-01-01,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235213245,,S,Activo prueba,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2003-01-08,TORRESK,,,,,,,,,,,0,,,,,00000000,,Y,,ACTIVO PRUEBA,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,6000,000000003000,0000,00003000,,,CASTRO,1999-08-11,CASTRO,1999-08-24,,,3000,00030000,,0,0000,000,,1999-01-31,,,,,0002,0001,0002,,,,0,0,,,,,,,,,0000,,,,,,,,,X,,,0000,,,,,,,,,,,,,,,,,,,,,E,Compaq Laptop,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,1999-08-24,CASTRO,,,,,,,,,,,0,,,,,00000000,,,,COMPAQ LAPTOP,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,9000,030000000002,0000,00003100,,,I023055,2011-09-29,I023055,2011-09-29,,,3000,00030000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,автомобиль 1,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2011-09-29,I023055,,,,,,,,,,,0,,,,,00000000,,Y,,АВТОМОБИЛЬ 1,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,9000,030000000001,0000,00003100,,,I023055,2011-09-29,I023055,2011-09-29,,,3000,00030000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,автобус volkswagen,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2011-09-29,I023055,,,,,,,,,,,0,,,,,00000000,,Y,,АВТОБУС VOLKSWAGEN,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,9000,030000000000,0000,00003100,,,C5146532,2011-04-18,I023055,2011-09-29,,,3000,00030000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Лада Калина,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2011-09-29,I023055,,,,,,,,,,,0,,,,,00000000,,Y,,ЛАДА КАЛИНА,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,9000,030000000003,0000,00003100,,,I023055,2011-09-29,,,,,3000,00030000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,автомобиль 3,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2011-09-29,I023055,,,,,,,,,,,0,,,,,00000000,,Y,,АВТОМОБИЛЬ 3,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003395,0000,00003200,,,D032161,2006-07-10,,,,,3000,00030000,,0,0000,000,,,,,,2006-07-10,,,,,,,0,0,0000003000,,,,1,,,,0000,,,,,ST,,,,,,,DE33,,,,,,,,,,,,,,,,,ST,,,,D,PC Titanium,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-07-10,D032161,,,,,,,,,,,0,,,,,00000000,,Y,,PC TITANIUM,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003394,0000,00003200,,,D032161,2006-07-10,,,,,3000,00030000,,0,0000,000,,,,,,2006-07-10,,,,,,,0,0,0000003000,,,,1,,,,0000,,,,,ST,,,,,,,DE33,,,,,,,,,,,,,,,,,ST,,,,D,PC Titanium,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-07-10,D032161,,,,,,,,,,,0,,,,,00000000,,Y,,PC TITANIUM,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003397,0000,00003200,,,D032161,2006-07-10,,,,,3000,00030000,,0,0000,000,,,,,,2006-07-10,,,,,,,0,0,0000003000,,,,1,,,,0000,,,,,ST,,,,,,,DE33,,,,,,,,,,,,,,,,,ST,,,,D,Notebook Starworld 3000,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-07-10,D032161,,,,,,,,,,,0,,,,,00000000,,Y,,NOTEBOOK STARWORLD 3000,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003396,0000,00003200,,,D032161,2006-07-10,,,,,3000,00030000,,0,0000,000,,,,,,2006-07-10,,,,,,,0,0,0000003000,,,,1,,,,0000,,,,,ST,,,,,,,DE33,,,,,,,,,,,,,,,,,ST,,,,D,Flatscreen Ergo,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-07-10,D032161,,,,,,,,,,,0,,,,,00000000,,Y,,FLATSCREEN ERGO,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003373,0000,00003200,,,KOGUT,2002-12-04,PITTEN,2006-08-16,,,3000,00030000,,0,0000,000,,2002-12-01,,,2006-12-31,,,,,,,,0,0,0000003000,,,,1,,,,0000,,,,,EA,1.000000000,,,,,,DE33,,,,,,,,,,,,,,,,,ST,,7990338-229-002-1,,E,IBM ThinkPad 600X,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-08-16,PITTEN,,,,,,,,,,,0,,,,,00000000,,,,IBM THINKPAD 600X,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003329,0000,00003200,,,BREWER,2002-08-19,,,,,3000,00030000,,0,0000,000,,,,,,,,,,,,,1,0,,,,IBM,1,,,,0000,,,,,EA,1.000000000,,,,,,,,,,,,,,,,,,,,,,,ST,,,,E,IBM Thinkpad 770,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-08-19,BREWER,,,,,,,,,,,0,,,,,00000000,,,,IBM THINKPAD 770,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003216,0000,00003200,,,HERALD,1996-07-22,GASPARD,1997-01-21,,,3000,00030000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,1,,,,0000,,,,,ST,10.000000000,,,X,,,0000,,,,,,,,,,,,,,,,,,,SN-L457,,E,IBM Think Pad 550c,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,1997-01-21,GASPARD,,,,,,,,,,,0,,,,,00000000,,,,IBM THINK PAD 550C,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003370,0000,00003200,,,PALM,2002-11-15,,,,,3000,00030000,,0,0000,000,,,,,,,,,,N,,,0,0,0000003745,,,,1,,,,2002,2500.000000000,,,,,,,,,2002-10-01,,DE33,,,,,,,,,,,,,,,,,ST,,123124811,,E,IBM T20,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-11-15,PALM,,,,,,,,,,,0,,,,,00000000,,Y,,IBM T20,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003371,0000,00003200,,,KOGUT,2002-12-03,KOGUT,2002-12-03,,,3000,00030000,,0,0000,000,,2003-01-01,,,,,,,,,,,0,0,0000003000,,,,1,,,,0000,,,,,EA,1.000000000,,,,,,DE33,,,,,,,,,,,,,,,,,ST,,90223,,E,Compaq 9987,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-12-03,KOGUT,,,,,,,,,,,0,,,,,00000000,,,,COMPAQ 9987,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003372,0000,00003200,,,KOGUT,2002-12-04,,,,,3000,00030000,,0,0000,000,,2002-12-01,,,2005-01-01,,,,,,,,0,0,0000003000,,,,1,,,,0000,,,,,EA,1.000000000,,,,,,DE33,,,,,,,,,,,,,,,,,ST,,500412-554,,E,Power Macintosh 7300/200,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-12-04,KOGUT,,,,,,,,,,,0,,,,,00000000,,,,POWER MACINTOSH 7300/200,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000003374,0000,00003200,,,KOGUT,2002-12-04,,,,,3000,00030000,,0,0000,000,,2002-12-01,,,,,,,,,,,0,0,0000003000,,,,1,,,,0000,,,,,EA,1.000000000,,,,,,DE33,,,,,,,,,,,,,,,,,ST,,9827331-0003-293045-1,,E,IBM ThinkPad 600X,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-12-04,KOGUT,,,,,,,,,,,0,,,,,00000000,,,,IBM THINKPAD 600X,,,,,2,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,6000,000000004000,0000,00004000,,,CASTRO,1999-08-11,,,,,4000,00040000,X,0,0000,000,,1999-01-31,,,,,0001,0002,0002,,,,0,0,,,,,,,,,0000,,,,,,,,,X,,,0000,,,,,,,,,,,,,,,,,,,,,E,Elevator in construction administrational building,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,1999-08-11,CASTRO,,,,,,,,,,,0,AN60000000000040000000,,,,00000000,,Y,,ELEVATOR IN CONSTRUCTION ADMIN,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000004000,0001,00004000,,,LCHAMDONDOG,2011-03-14,,,,,4000,00040000,X,0,0000,000,,,,,,,0001,0002,0002,,,,0,0,0000001940,,,,1,,,,0000,,,,,,,,,X,,,0000,,,,,,,,,,,,,,,,,,,,,D,Einbau Fahrstuhlanlage Verwaltung Tests,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2011-03-14,LCHAMDONDOG,,,,,,,,,,,0,AN10000000000040000001,,,,00000000,,,,EINBAU FAHRSTUHLANLAGE VERWALT,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000004180,0000,00004001,,,POHLC,2000-11-08,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Foundation,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2000-11-08,POHLC,,,,,,,,,,,0,,,,,00000635,,Y,,FOUNDATION,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000004181,0000,00004001,,,POHLC,2000-11-08,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Machines,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2000-11-08,POHLC,,,,,,,,,,,0,,,,,00000636,,Y,,MACHINES,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000004139,0000,00004001,,,LURIE,2002-05-13,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-05-13,LURIE,,,,,,,,,,,0,,,,,00000850,,Y,,,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000004182,0000,00004001,,,POHLC,2001-01-29,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,000065000284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,IT Beschaffung (PCs),,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2001-01-29,POHLC,,,,,,,,,,,0,,,,,00000000,,Y,,IT BESCHAFFUNG (PCS),X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000004005,0000,00004001,,,SASAKI,1995-06-13,STADEL,1996-12-23,,,2000,00040000,,0,0000,000,,,,1996-12-23,,,,,,,,,0,0,,,,,1,,,,0000,,,,,,,,,X,,,0000,,,,,,,,,,,,,,,,,,,,,E,Innenausbau,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,1996-12-23,STADEL,,,,,,,,,,,0,,,,,00000044,,,,INNENAUSBAU,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000004004,0000,00004001,,,SASAKI,1995-06-13,STADEL,1996-12-23,,,2000,00040000,,0,0000,000,,,,1996-12-23,,,,,,,,,0,0,,,,,1,,,,0000,,,,,,,,,X,,,0000,,,,,,,,,,,,,,,,,,,,,E,Rohbau,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,1996-12-23,STADEL,,,,,,,,,,,0,,,,,00000043,,,,ROHBAU,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000004002,0000,00004001,,,MACHIELS,1995-06-01,ZIMMERMANNV,1997-01-16,,,2000,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,1,,,,0000,,,,000065000000,,,,,X,,,0000,,,,,,,,,,,,,,,,,,,,,E,Erweiterungen Werk Süd,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,1997-01-16,ZIMMERMANNV,,,,,,,,,,,0,,,,,00000000,,,,ERWEITERUNGEN WERK SÜD,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000004150,0000,00004001,,,LURIE,2002-09-20,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,BTS #4452,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-09-20,LURIE,,,,,,,,,,,0,,,,,00001422,,Y,,BTS #4452,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000004151,0000,00004001,,,LURIE,2002-09-20,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,BTS #4452,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-09-20,LURIE,,,,,,,,,,,0,,,,,00001428,,Y,,BTS #4452,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000004152,0000,00004001,,,NLM_CO,2002-09-30,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Base Transmitter Station #4468,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-09-30,NLM_CO,,,,,,,,,,,0,,,,,00001446,,Y,,BASE TRANSMITTER STATION #4468,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000004153,0000,00004001,,,NLM_CO,2002-09-30,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Base Transmitter Station #4469,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-09-30,NLM_CO,,,,,,,,,,,0,,,,,00001447,,Y,,BASE TRANSMITTER STATION #4469,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000004154,0000,00004001,,,NLM_CO,2002-09-30,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Base Transmitter Station #4470,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-09-30,NLM_CO,,,,,,,,,,,0,,,,,00001448,,Y,,BASE TRANSMITTER STATION #4470,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000004156,0000,00004001,,,NLM_CO,2002-10-04,,,,,4010,00040000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,BTS #4474,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2002-10-04,NLM_CO,,,,,,,,,,,0,,,,,00001573,,Y,,BTS #4474,X,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
