mandt,waers,isocd,altwr,gdatu,xprimary,operation_flag,is_deleted,recordstamp
050,AMD,AMD,051,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AMD,AMD,051,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AMD,AMD,051,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AMD,AMD,051,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AON,AON,024,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AON,AON,024,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AON,AON,024,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AON,AON,024,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AON,AON,024,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AON,AON,024,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ARS,ARS,032,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ARS,ARS,032,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ARS,ARS,032,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ARS,ARS,032,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ARS,ARS,032,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ARS,ARS,032,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ATS,ATS,040,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ATS,ATS,040,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ATS,ATS,040,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ATS,ATS,040,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ATS,ATS,040,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ATS,ATS,040,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AUD,AUD,036,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AUD,AUD,036,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AUD,AUD,036,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AUD,AUD,036,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AUD,AUD,036,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AUD,AUD,036,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AZM,AZM,031,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AZM,AZM,031,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AZM,AZM,031,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AZM,AZM,031,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AZM,AZM,031,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AZM,AZM,031,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BBD,BBD,052,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BBD,BBD,052,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BBD,BBD,052,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BBD,BBD,052,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BBD,BBD,052,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BBD,BBD,052,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BDT,BDT,050,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BDT,BDT,050,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BDT,BDT,050,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BDT,BDT,050,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BDT,BDT,050,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BDT,BDT,050,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BEF,BEF,056,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BEF,BEF,056,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BEF,BEF,056,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BEF,BEF,056,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BEF,BEF,056,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BEF,BEF,056,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BGN,BGN,975,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BHD,BHD,048,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BHD,BHD,048,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BHD,BHD,048,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BHD,BHD,048,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BHD,BHD,048,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BHD,BHD,048,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BIF,BIF,108,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BMD,BMD,060,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BMD,BMD,060,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BMD,BMD,060,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BMD,BMD,060,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BMD,BMD,060,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BMD,BMD,060,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BND,BND,096,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BND,BND,096,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BND,BND,096,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BND,BND,096,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BND,BND,096,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BND,BND,096,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BOB,BOB,068,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BOB,BOB,068,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BOB,BOB,068,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BOB,BOB,068,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BOB,BOB,068,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BOB,BOB,068,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BRL,BRL,986,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BSD,BSD,044,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BSD,BSD,044,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BSD,BSD,044,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BSD,BSD,044,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BSD,BSD,044,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BSD,BSD,044,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BTN,BTN,064,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BTN,BTN,064,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BTN,BTN,064,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BTN,BTN,064,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BTN,BTN,064,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BTN,BTN,064,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BWP,BWP,072,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BWP,BWP,072,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BWP,BWP,072,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BWP,BWP,072,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BWP,BWP,072,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BWP,BWP,072,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BYB,BYB,112,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BYR,BYR,974,,,L,False,2022-01-31 20:43:51.581515+00:00
000,BZD,BZD,084,,,L,False,2022-01-31 20:43:51.581515+00:00
001,BZD,BZD,084,,,L,False,2022-01-31 20:43:51.581515+00:00
050,BZD,BZD,084,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BZD,BZD,084,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BZD,BZD,084,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BZD,BZD,084,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CAD,CAD,124,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CAD,CAD,124,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CAD,CAD,124,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CAD,CAD,124,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CAD,CAD,124,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CAD,CAD,124,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CDF,CDF,976,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CDF,CDF,976,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CDF,CDF,976,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CDF,CDF,976,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CDF,CDF,976,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CDF,CDF,976,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CFP,XPF,953,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CFP,XPF,953,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CFP,XPF,953,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CFP,XPF,953,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CFP,XPF,953,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CFP,XPF,953,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CHF,CHF,756,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CHF,CHF,756,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CHF,CHF,756,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CHF,CHF,756,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CHF,CHF,756,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CHF,CHF,756,,,L,False,2022-01-31 20:43:51.581515+00:00
000,COP,COP,170,,,L,False,2022-01-31 20:43:51.581515+00:00
001,COP,COP,170,,,L,False,2022-01-31 20:43:51.581515+00:00
050,COP,COP,170,,,L,False,2022-01-31 20:43:51.581515+00:00
100,COP,COP,170,,,L,False,2022-01-31 20:43:51.581515+00:00
200,COP,COP,170,,,L,False,2022-01-31 20:43:51.581515+00:00
250,COP,COP,170,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CRC,CRC,188,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CRC,CRC,188,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CRC,CRC,188,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CRC,CRC,188,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CRC,CRC,188,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CRC,CRC,188,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CSD,CSD,891,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CSD,CSD,891,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CSD,CSD,891,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CSD,CSD,891,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CSD,CSD,891,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CSD,CSD,891,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CUC,CUC,931,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CUC,CUC,931,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CUC,CUC,931,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CUC,CUC,931,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CUC,CUC,931,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CUC,CUC,931,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CUP,CUP,192,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CUP,CUP,192,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CUP,CUP,192,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CUP,CUP,192,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CUP,CUP,192,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CUP,CUP,192,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CVE,CVE,132,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CVE,CVE,132,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CVE,CVE,132,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CVE,CVE,132,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CVE,CVE,132,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CVE,CVE,132,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CYP,CYP,196,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CYP,CYP,196,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CYP,CYP,196,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CYP,CYP,196,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CYP,CYP,196,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CYP,CYP,196,,,L,False,2022-01-31 20:43:51.581515+00:00
000,CZK,CZK,203,,,L,False,2022-01-31 20:43:51.581515+00:00
001,CZK,CZK,203,,,L,False,2022-01-31 20:43:51.581515+00:00
050,CZK,CZK,203,,,L,False,2022-01-31 20:43:51.581515+00:00
100,CZK,CZK,203,,,L,False,2022-01-31 20:43:51.581515+00:00
200,CZK,CZK,203,,,L,False,2022-01-31 20:43:51.581515+00:00
250,CZK,CZK,203,,,L,False,2022-01-31 20:43:51.581515+00:00
000,DJF,DJF,262,,,L,False,2022-01-31 20:43:51.581515+00:00
001,DJF,DJF,262,,,L,False,2022-01-31 20:43:51.581515+00:00
050,DJF,DJF,262,,,L,False,2022-01-31 20:43:51.581515+00:00
100,DJF,DJF,262,,,L,False,2022-01-31 20:43:51.581515+00:00
200,DJF,DJF,262,,,L,False,2022-01-31 20:43:51.581515+00:00
250,DJF,DJF,262,,,L,False,2022-01-31 20:43:51.581515+00:00
000,DKK,DKK,208,,,L,False,2022-01-31 20:43:51.581515+00:00
001,DKK,DKK,208,,,L,False,2022-01-31 20:43:51.581515+00:00
050,DKK,DKK,208,,,L,False,2022-01-31 20:43:51.581515+00:00
100,DKK,DKK,208,,,L,False,2022-01-31 20:43:51.581515+00:00
200,DKK,DKK,208,,,L,False,2022-01-31 20:43:51.581515+00:00
250,DKK,DKK,208,,,L,False,2022-01-31 20:43:51.581515+00:00
000,DOP,DOP,214,,,L,False,2022-01-31 20:43:51.581515+00:00
001,DOP,DOP,214,,,L,False,2022-01-31 20:43:51.581515+00:00
050,DOP,DOP,214,,,L,False,2022-01-31 20:43:51.581515+00:00
100,DOP,DOP,214,,,L,False,2022-01-31 20:43:51.581515+00:00
200,DOP,DOP,214,,,L,False,2022-01-31 20:43:51.581515+00:00
250,DOP,DOP,214,,,L,False,2022-01-31 20:43:51.581515+00:00
000,DZD,DZD,012,,,L,False,2022-01-31 20:43:51.581515+00:00
001,DZD,DZD,012,,,L,False,2022-01-31 20:43:51.581515+00:00
050,DZD,DZD,012,,,L,False,2022-01-31 20:43:51.581515+00:00
100,DZD,DZD,012,,,L,False,2022-01-31 20:43:51.581515+00:00
200,DZD,DZD,012,,,L,False,2022-01-31 20:43:51.581515+00:00
250,DZD,DZD,012,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ECS,ECS,218,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ECS,ECS,218,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ECS,ECS,218,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ECS,ECS,218,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ECS,ECS,218,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ECS,ECS,218,,,L,False,2022-01-31 20:43:51.581515+00:00
000,EEK,EEK,233,,,L,False,2022-01-31 20:43:51.581515+00:00
001,EEK,EEK,233,,,L,False,2022-01-31 20:43:51.581515+00:00
050,EEK,EEK,233,,,L,False,2022-01-31 20:43:51.581515+00:00
100,EEK,EEK,233,,,L,False,2022-01-31 20:43:51.581515+00:00
200,EEK,EEK,233,,,L,False,2022-01-31 20:43:51.581515+00:00
250,EEK,EEK,233,,,L,False,2022-01-31 20:43:51.581515+00:00
000,EGP,EGP,818,,,L,False,2022-01-31 20:43:51.581515+00:00
001,EGP,EGP,818,,,L,False,2022-01-31 20:43:51.581515+00:00
050,EGP,EGP,818,,,L,False,2022-01-31 20:43:51.581515+00:00
100,EGP,EGP,818,,,L,False,2022-01-31 20:43:51.581515+00:00
200,EGP,EGP,818,,,L,False,2022-01-31 20:43:51.581515+00:00
250,EGP,EGP,818,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ERN,ERN,232,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ERN,ERN,232,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ERN,ERN,232,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ERN,ERN,232,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ERN,ERN,232,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ERN,ERN,232,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ESP,ESP,724,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ESP,ESP,724,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ESP,ESP,724,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ESP,ESP,724,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ESP,ESP,724,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ESP,ESP,724,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ETB,ETB,230,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ETB,ETB,230,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ETB,ETB,230,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ETB,ETB,230,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ETB,ETB,230,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ETB,ETB,230,,,L,False,2022-01-31 20:43:51.581515+00:00
000,EUR,EUR,978,,,L,False,2022-01-31 20:43:51.581515+00:00
001,EUR,EUR,978,,,L,False,2022-01-31 20:43:51.581515+00:00
050,EUR,EUR,978,,,L,False,2022-01-31 20:43:51.581515+00:00
100,EUR,EUR,978,,,L,False,2022-01-31 20:43:51.581515+00:00
200,EUR,EUR,978,,,L,False,2022-01-31 20:43:51.581515+00:00
250,EUR,EUR,978,,,L,False,2022-01-31 20:43:51.581515+00:00
000,FIM,FIM,246,,,L,False,2022-01-31 20:43:51.581515+00:00
001,FIM,FIM,246,,,L,False,2022-01-31 20:43:51.581515+00:00
050,FIM,FIM,246,,,L,False,2022-01-31 20:43:51.581515+00:00
100,FIM,FIM,246,,,L,False,2022-01-31 20:43:51.581515+00:00
200,FIM,FIM,246,,,L,False,2022-01-31 20:43:51.581515+00:00
250,FIM,FIM,246,,,L,False,2022-01-31 20:43:51.581515+00:00
000,FJD,FJD,242,,,L,False,2022-01-31 20:43:51.581515+00:00
001,FJD,FJD,242,,,L,False,2022-01-31 20:43:51.581515+00:00
050,FJD,FJD,242,,,L,False,2022-01-31 20:43:51.581515+00:00
100,FJD,FJD,242,,,L,False,2022-01-31 20:43:51.581515+00:00
200,FJD,FJD,242,,,L,False,2022-01-31 20:43:51.581515+00:00
250,FJD,FJD,242,,,L,False,2022-01-31 20:43:51.581515+00:00
000,FKP,FKP,238,,,L,False,2022-01-31 20:43:51.581515+00:00
001,FKP,FKP,238,,,L,False,2022-01-31 20:43:51.581515+00:00
050,FKP,FKP,238,,,L,False,2022-01-31 20:43:51.581515+00:00
100,FKP,FKP,238,,,L,False,2022-01-31 20:43:51.581515+00:00
200,FKP,FKP,238,,,L,False,2022-01-31 20:43:51.581515+00:00
250,FKP,FKP,238,,,L,False,2022-01-31 20:43:51.581515+00:00
000,FRF,FRF,250,,,L,False,2022-01-31 20:43:51.581515+00:00
001,FRF,FRF,250,,,L,False,2022-01-31 20:43:51.581515+00:00
050,FRF,FRF,250,,,L,False,2022-01-31 20:43:51.581515+00:00
100,FRF,FRF,250,,,L,False,2022-01-31 20:43:51.581515+00:00
200,FRF,FRF,250,,,L,False,2022-01-31 20:43:51.581515+00:00
250,FRF,FRF,250,,,L,False,2022-01-31 20:43:51.581515+00:00
000,GBP,GBP,826,,,L,False,2022-01-31 20:43:51.581515+00:00
