mandt,mtart,mtref,mbref,flref,numki,numke,envop,bsext,bsint,pstat,kkref,vprsv,kzvpr,vmtpo,ekalr,kzgrp,kzkfg,begru,kzprc,kzpip,prdru,aranz,wmakg,izust,ardel,kzmpn,mstae,cchis,ctype,class,chneu,vtype,vnumki,vnumke,kzrac,operation_flag,is_deleted,recordstamp
001,NLAG,NLAG,ROH,NLAG,01,02,,2,2,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,NLAG,NLAG,ROH,NLAG,01,02,,2,2,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,NLAG,NLAG,ROH,NLAG,01,02,,2,2,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,NLAG,NLAG,ROH,NLAG,01,02,,2,2,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,NLAG,NLAG,ROH,NLAG,01,02,,2,2,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,NLAG,NLAG,ROH,NLAG,01,02,,2,2,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
000,WETT,WETT,ROH,WETT,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,WETT,WETT,ROH,WETT,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,WETT,WETT,ROH,WETT,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,WETT,WETT,ROH,WETT,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,WETT,WETT,ROH,WETT,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,WETT,WETT,ROH,WETT,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,WETT,WETT,ROH,WETT,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,WETT,WETT,ROH,WETT,01,02,,0,0,CK,,,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,ROH,ROH,ROH,ROH,01,02,,2,0,BCDEGKLPQSVXZ,0001,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,ROH,ROH,ROH,ROH,01,02,,2,0,BCDEGKLPQSVXZ,0001,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,ROH,ROH,ROH,ROH,01,02,,2,0,BCDEGKLPQSVXZ,0001,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ROH,ROH,ROH,ROH,01,02,,2,0,BCDEGKLPQSVXZ,0001,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,ROH,ROH,ROH,ROH,01,02,X,2,0,BCDEGKLPQSVXZ,0001,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,ROH,ROH,ROH,ROH,01,02,X,2,0,BCDEGKLPQSVXZ,0001,V,,,X,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ROH,ROH,ROH,ROH,01,02,,2,0,BCDEGKLPQSVXZ,0001,V,,,X,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,COMP,ROH,ROH,ROH,01,02,,2,0,BCDEGKLPQSXZ,0001,S,X,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,CONT,ROH,ROH,ROH,,,X,2,2,K,0001,V,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,CONU,ROH,HAWA,HAWA,,,X,2,2,CEKLVXZ,0001,V,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,ROH,ROH,ROH,ROH,,,X,2,0,BCDEGKLPQSVXZ,0001,V,,,X,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,INTR,INTR,ROH,ROH,01,02,,0,0,BCKLQXZ,0001,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,INTR,INTR,ROH,ROH,01,02,,0,0,BCKLQXZ,0001,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,INTR,INTR,ROH,ROH,01,02,,0,0,BCKLQXZ,0001,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,INTR,INTR,ROH,ROH,01,02,,0,0,BCKLQXZ,0001,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,INTR,INTR,ROH,ROH,01,02,,0,0,BCKLQXZ,0001,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,INTR,INTR,ROH,ROH,01,02,,0,0,BCKLQXZ,0001,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,INTR,INTR,ROH,ROH,01,02,,0,0,BCKLQXZ,0001,V,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,INTR,INTR,ROH,ROH,01,02,,0,0,BCKLQXZ,0001,V,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,PIPE,PIPE,ROH,ROH,01,02,,0,0,BCEKXZ,0001,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,PIPE,PIPE,ROH,ROH,01,02,,0,0,BCEKXZ,0001,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,PIPE,PIPE,ROH,ROH,01,02,,0,0,BCEKXZ,0001,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,PIPE,PIPE,ROH,ROH,01,02,,0,0,BCEKXZ,0001,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,PIPE,PIPE,ROH,ROH,01,02,,0,0,BCEKXZ,0001,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,PIPE,PIPE,ROH,ROH,01,02,,0,0,BCEKXZ,0001,V,,,,,,,,X,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,PIPE,PIPE,ROH,ROH,01,02,,0,0,BCEKXZ,0001,V,,,,,,,,X,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,PIPE,PIPE,ROH,ROH,01,02,X,0,0,BCEKXZ,0001,V,,,,,,,,X,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,HIBE,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0002,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,HIBE,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0002,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,HIBE,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0002,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,HIBE,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0002,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,HIBE,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0002,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,HIBE,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0002,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,HIBE,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0002,V,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,HIBE,HIBE,ROH,ROH,01,02,X,2,0,BCDEKLPQSXZ,0002,V,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,ERSA,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0003,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,ERSA,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0003,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,ERSA,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0003,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ERSA,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0003,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,ERSA,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0003,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,ERSA,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0003,V,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ERSA,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0003,V,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,ERSA,HIBE,ROH,ROH,01,02,,2,0,BCDEKLPQSXZ,0003,V,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,EPA,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,EPA,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,EPA,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,EPA,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,EPA,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,EPA,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,EPA,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
000,LEER,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,LEER,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,LEER,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LEER,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,LEER,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,LEER,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LEER,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEIH,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
000,LEIH,VERP,ROH,VERP,01,02,X,2,1,BDEKLSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,LEIH,VERP,ROH,VERP,01,02,X,2,1,BDEKLSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,LEIH,VERP,ROH,VERP,01,02,X,2,1,BDEKLSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LEIH,VERP,ROH,VERP,01,02,X,2,1,BDEKLSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,LEIH,VERP,ROH,VERP,01,02,X,2,1,BDEKLSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,LEIH,VERP,ROH,VERP,01,02,X,2,1,BDEKLSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LEIH,VERP,ROH,VERP,01,02,X,2,1,BDEKLSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
000,LGUT,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEER,,,,,,,,,2,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,LGUT,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEER,,,,,,,,,2,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,LGUT,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEER,,,,,,,,,2,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LGUT,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEER,,,,,,,,,2,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,LGUT,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEER,,,,,,,,,2,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,LGUT,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEER,,,,,,,,,2,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,LGUT,VERP,LEER,VERP,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEER,,,,,,,,,2,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
000,VERP,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,VERP,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,VERP,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,VERP,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,VERP,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,VERP,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,VERP,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,VERP,VERP,ROH,VERP,01,02,X,2,0,BCDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,LEER,VERP,ROH,ROH,01,02,,2,1,BCDEKLPQSVXZ,0004,V,,LEIH,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,EPA,VERP,ROH,VERP,01,02,,2,1,BDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,ZPKG,VERP,ROH,VERP,01,02,X,2,0,BCDEKLPQSVXZ,0004,V,,VERP,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,LGUT,VERP,ROH,VERP,01,02,,2,0,BCDEKLPQSVXZ,0004,V,,LEER,,,,,,,,,2,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,LEIH,VERP,ROH,VERP,,,X,2,1,BDEKLQSVXZ,0004,V,,VERP,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,COUP,HAWA,COUP,WERB,01,02,X,0,0,KQSVXZ,0005,V,,NORM,,,,0002,,,,X,6,,0010,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,COUP,HAWA,COUP,WERB,01,02,X,0,0,KQSVXZ,0005,V,,NORM,,,,0002,,,,X,6,,0010,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,COUP,HAWA,COUP,WERB,01,02,X,0,0,KQSVXZ,0005,V,,NORM,,,,0002,,,,X,6,,0010,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,COUP,HAWA,COUP,WERB,01,02,X,0,0,KQSVXZ,0005,V,,NORM,,,,0002,,,,X,6,,0010,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,COUP,HAWA,COUP,WERB,01,02,X,0,0,KQSVXZ,0005,V,,NORM,,,,0002,,,,X,6,,0010,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,COUP,HAWA,COUP,WERB,01,02,X,0,0,KQSVXZ,0005,V,,NORM,,,,0002,,,,X,6,,0010,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,COUP,HAWA,COUP,WERB,01,02,X,0,0,KQSVXZ,0005,V,,NORM,,,,0002,,,,X,6,,0010,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
000,PLAN,HAWA,PLAN,HAWA,01,02,,0,0,CEKV,0005,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,PLAN,HAWA,PLAN,HAWA,01,02,,0,0,CEKV,0005,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,PLAN,HAWA,PLAN,HAWA,01,02,,0,0,CEKV,0005,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,PLAN,HAWA,PLAN,HAWA,01,02,,0,0,CEKV,0005,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,PLAN,HAWA,PLAN,HAWA,01,02,,0,0,CEKV,0005,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,PLAN,HAWA,PLAN,HAWA,01,02,,0,0,CEKV,0005,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,PLAN,HAWA,PLAN,HAWA,01,02,,0,0,CEKV,0005,V,,NORM,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
000,VKHM,HAWA,HAWA,VKHM,01,02,X,2,2,BCDEGKLPQSVXZ,0005,V,,NORM,,,,,,,,,5,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,VKHM,HAWA,HAWA,VKHM,01,02,X,2,2,BCDEGKLPQSVXZ,0005,V,,NORM,,,,,,,,,5,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,VKHM,HAWA,HAWA,VKHM,01,02,X,2,2,BCDEGKLPQSVXZ,0005,V,,NORM,,,,,,,,,5,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
