mandt,spras,prodh,vtext,operation_flag,is_deleted,recordstamp
200,E,7000700070002000,Vegetables,I,False,2021-04-16 05:11:42+00:00
200,E,8000800080001000,Toilet Paper,I,False,2021-04-16 05:11:42+00:00
200,E,8000800080002000,Paper Goods,I,False,2021-04-16 05:11:42+00:00
200,E,8000800080003000,Cleaners,I,False,2021-04-16 05:11:42+00:00
800,1,5000,糖果 dsim,I,False,2021-04-15 22:50:37.438694+00:00
800,S,5000,Dulces DSIM,I,False,2021-04-15 22:50:37.438694+00:00
800,D,5000,DSIM Süßigkeiten,I,False,2021-04-15 22:50:37.438694+00:00
800,F,5000,Dsim Bonbons,I,False,2021-04-15 22:50:37.438694+00:00
800,E,5000,DSIM Sweets,I,False,2021-04-15 22:50:37.438694+00:00
800,2,00001,เครื่องมือ,I,False,2021-04-15 22:50:37.438694+00:00
800,O,00001,Verktøy,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00001,Outils,I,False,2021-04-15 22:50:37.438694+00:00
800,H,00001,Munkaeszközök,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00001,Tools,I,False,2021-04-15 22:50:37.438694+00:00
800,M,00001,工具,I,False,2021-04-15 22:50:37.438694+00:00
800,V,00001,Verktyg,I,False,2021-04-15 22:50:37.438694+00:00
800,A,00001,أدوات,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00001,Werkzeuge,I,False,2021-04-15 22:50:37.438694+00:00
800,I,00001,Tools,I,False,2021-04-15 22:50:37.438694+00:00
800,T,00001,Araçlar,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00001,Ferramentas,I,False,2021-04-15 22:50:37.438694+00:00
800,Q,00001,Nástroje,I,False,2021-04-15 22:50:37.438694+00:00
800,K,00001,Værktøjer,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00001,工具,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00001,Tools,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00001,Herramientas,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00001,Instrumente,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00001,Alati,I,False,2021-04-15 22:50:37.438694+00:00
800,B,00001,כלים,I,False,2021-04-15 22:50:37.438694+00:00
800,C,00001,Nástroje,I,False,2021-04-15 22:50:37.438694+00:00
800,L,00001,Narzędzia,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00001,Εργαλεία,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00001,Инструменти,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00001,Alati,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00001,ツール,I,False,2021-04-15 22:50:37.438694+00:00
800,U,00001,Työkalut,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00001,도구,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00001,Orodja,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00001,Инструменты,I,False,2021-04-15 22:50:37.438694+00:00
800,N,00001,Gereedschap,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00002,Drinks,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00002,饮料,I,False,2021-04-15 22:50:37.438694+00:00
800,2,00002,เครื่องดื่ม,I,False,2021-04-15 22:50:37.438694+00:00
800,I,00002,Bevande,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00002,Boissons,I,False,2021-04-15 22:50:37.438694+00:00
800,T,00002,İçecekler,I,False,2021-04-15 22:50:37.438694+00:00
800,K,00002,Drikkevarer,I,False,2021-04-15 22:50:37.438694+00:00
800,A,00002,مرطبات,I,False,2021-04-15 22:50:37.438694+00:00
800,H,00002,Italok,I,False,2021-04-15 22:50:37.438694+00:00
800,C,00002,Nápoje,I,False,2021-04-15 22:50:37.438694+00:00
800,M,00002,飲料,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00002,Bebidas,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00002,Băuturi,I,False,2021-04-15 22:50:37.438694+00:00
800,O,00002,Drikkevarer,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00002,음료,I,False,2021-04-15 22:50:37.438694+00:00
800,L,00002,Napoje,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00002,Bebidas,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00002,Ποτά,I,False,2021-04-15 22:50:37.438694+00:00
800,V,00002,Drycker,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00002,Напитки,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00002,Pića,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00002,Pića,I,False,2021-04-15 22:50:37.438694+00:00
800,N,00002,Dranken,I,False,2021-04-15 22:50:37.438694+00:00
800,U,00002,Juomat,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00002,Напитки,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00002,清涼飲料,I,False,2021-04-15 22:50:37.438694+00:00
800,Q,00002,Nápoje,I,False,2021-04-15 22:50:37.438694+00:00
800,B,00002,משקאות,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00002,Drinks,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00002,Getränke,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00002,Pijača,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00100,机器,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00100,Maschinen,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00100,Maquinaria,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00100,Машины,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00100,機械及び装置,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00100,Máquinas,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00100,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00105,交通工具,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00105,車両,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00105,Fahrzeuge,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00105,Veículos,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00105,Транспортные средства,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00105,Véhicules,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00105,Vehicles,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00105,Vehículos,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00110,Pinturas,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00110,绘制,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00110,Краски,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00110,Cores,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00110,Paints,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00110,ペンキ,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00110,Couleurs,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00110,Farben,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00115,Iluminação,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00115,Освещение,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00115,照明,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00115,Iluminación,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00115,Lighting,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00115,Beleuchtung,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00115,Eclairage,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00120,Ascensores,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00120,Aufzüge,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00120,Лифты,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00120,Ascenseurs,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00120,エレベータ,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00120,电梯,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00120,Elevators,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00120,Elevadores,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00125,ハードウェア,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00125,Аппаратные средства,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00125,硬件,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00125,Matériel,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00125,Hardware,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00130,软件,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00130,Logiciels,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00130,ソフトウェア,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00130,Программное обеспечение,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00135,Moyens d'expédition,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00135,出荷単位,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00135,Elementos expedição,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00135,装运单位,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00135,Versandelemente,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00135,Элементы отгрузки,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00135,Shipping units,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00135,Elementos expedición,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00140,サービス,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00140,Услуги,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00140,Servicios,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00140,Prestations,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00140,Prestação de serviço,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00140,服务,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00140,Dienstleistungen,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00140,Services,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00145,Продукты питания,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00145,Lebensmittel,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00145,Prdts alimentaires,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00145,Gêneros alimentícios,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00145,Alimentos,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00145,食品,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00145,Foodstuffs,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00145,食料品,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00150,Фотография,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00150,Foto,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00150,Foto,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00150,写真,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00150,Foto,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00150,Photo,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00150,照片,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00160,Industria farmacológica,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00160,Pharma,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00160,薬剤,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00160,Фармацевтическая промышленность,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00160,Indústria farmacêutica,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00160,药物,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00160,Industrie pharmaceutique,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00160,Pharmaceuticals,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00170,Maquinaria,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00170,Máquinas,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00170,高科技,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00170,機械及び装置,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00170,High Tech.,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00170,Machines,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00170,Машины,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00170,High Tech,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00180,Ger.Wirtsch.Gueter,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00180,備品,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00180,Ger.Wirtsch.Gueter,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00180,Möbel,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00180,Furniture,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00180,Bens de baixo valor,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00180,家具,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00180,МБП (Пр/ОфисОборуд),I,False,2021-04-15 22:50:37.438694+00:00
800,3,00190,HH devices,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00190,Hh appareils,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00190,HH devices,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00190,HH devices,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00190,HH devices,I,False,2021-04-15 22:50:37.438694+00:00
800,D,00190,HH Geräte,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00190,HH devices,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00190,HH devices,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00190,Hh 设备,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00200,Sucré et salé,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00200,甜食和零食,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00200,Sweets & Snacks,I,False,2021-04-15 22:50:37.438694+00:00
800,1,00210,家族,I,False,2021-04-15 22:50:37.438694+00:00
800,3,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
800,R,00210,Все для дома,I,False,2021-04-15 22:50:37.438694+00:00
800,J,00210,家族,I,False,2021-04-15 22:50:37.438694+00:00
800,E,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
800,Z,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
800,5,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
800,F,00210,Ménage,I,False,2021-04-15 22:50:37.438694+00:00
800,4,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
800,G,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
800,P,00210,Tudo para o lar,I,False,2021-04-15 22:50:37.438694+00:00
800,S,00210,Todo para el hogar,I,False,2021-04-15 22:50:37.438694+00:00
800,W,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
800,d,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
800,6,00210,Household,I,False,2021-04-15 22:50:37.438694+00:00
